time_week,device_id,category,chain,visits
2014-11-16,NrfUDDQZCOtpvSLzqKCk7FFwbnI=,Grocery,Kroger,2
2014-11-16,ZJ6VP53jTcHizl5L2g/RkMJvrPM=,Big Box,Meijer,2
2014-11-16,vz4eT+mfrMH7LLuLD8iQ3cBexCM=,Big Box,Meijer,1
2014-11-16,zl9QPQGxfYh1RFuzgk9PME4Rzbs=,Big Box,Meijer,2
2014-11-16,mSX9wnkctv0q9wgCrXdAgooiKD4=,Big Box,Meijer,1
2014-11-16,UTZZonYL0nnUOXqkb4X+Ok8Hoj0=,Big Box,Meijer,2
2014-11-16,KQNiBMnPMdiqO5vAF07YE7fPZng=,Big Box,Meijer,9
2014-11-16,UKO3m6vtUHtm9+b9QyeiDMyGW78=,Big Box,Meijer,2
2014-11-16,E5ONQVWnAJ5QRXv2a4EL6XAG4XU=,Big Box,Meijer,3
2014-11-16,mTzFspC3SppU67vcMLZY9Z6zzq8=,Big Box,Meijer,2
2014-11-16,2R8pEiuElWhoPCN2izuOd+N7nsg=,Big Box,Meijer,1
2014-11-16,TFWg/wE1Vi06eWYF37wecFGV9wQ=,Big Box,Meijer,1
2014-11-16,uGgynYAOcqkwyiSNzlo4jbz+uFE=,Big Box,Meijer,1
2014-11-16,E4FrSfTF4ZKJM47rdSRQq46jnkM=,Big Box,Meijer,1
2014-11-16,9kbcZ0LBVAn8JSjXTPNK14K1c1c=,Big Box,Meijer,2
2014-11-16,fPj2J9sz/Xvod/OoWYmQRrPm39s=,Big Box,Meijer,1
2014-11-16,GxnRmHeHmeu497WDDNi5AjiHdqA=,Big Box,Meijer,1
2014-11-16,BMWvGYGbJZcTLAnKBEwhpQR/Iuo=,Big Box,Meijer,1
2014-11-16,xy3MptEzsNYfMNKgqmwd/X7iHt8=,Big Box,Meijer,1
2014-11-16,Toe3fmFnNg9M3A8W4Rk01NERqxc=,Big Box,Meijer,1
2014-11-16,Pe+I736eZZ0h6zR1VRwbM3V3XhM=,Big Box,Meijer,1
2014-11-16,2al5HseFCw3eo8LMcGgCZi+XAeg=,Big Box,Meijer,1
2014-11-16,oMUsNyW3qlF7Oi3zOnVYp5FnedU=,Big Box,Meijer,1
2014-11-16,1AGCxzH1/nPjv+SR3jjIW05TIK4=,Big Box,Meijer,2
2014-11-16,KiVPrJUj9yybArrKWofwLEkA4Bs=,Big Box,Meijer,2
2014-11-16,LD/S+s2mYEsW7Aj6IPovknVok20=,Big Box,Meijer,1
2014-11-16,c4ojWjsL+gzjOQx7fZKllwWRQUQ=,Big Box,Meijer,1
2014-11-16,omVuIexuGUMg7TvFlrgupMpQWBA=,Big Box,Meijer,5
2014-11-16,hmCGwC6p0YJQa7ZCIy+/dLxm/tQ=,Big Box,Meijer,3
2014-11-16,x3jRISRXOa5EbgAvaMMoMFp3Hhk=,Big Box,Meijer,2
2014-11-16,mSde6p20IwEj+Y6WHHIuH/vJLR0=,Big Box,Meijer,5
2014-11-16,QCrydKUMN7wogB4xgioK4V9cr08=,Big Box,Meijer,2
2014-11-16,GYdM5prO6ceGE4dT4I8zTClGCV0=,Big Box,Meijer,1
2014-11-16,Q7sJ0RZZrKGUuyUHyFcXvsnWF74=,Big Box,Meijer,1
2014-11-16,vm+XF0wmRXSnSk1v5G9N2Dciwow=,Big Box,Meijer,1
2014-11-16,KfOJiBS3Ii7VZ29Rs8EOAAZLRTs=,Grocery,Ralphs,1
2014-11-16,Keek/J2DmfMqB/7VvECUS/zKTF0=,Grocery,Ralphs,2
2014-11-16,Ba6opUTRytkn8/S/vZQTbaah0po=,Grocery,Ralphs,1
2014-11-16,z6zT/fipXwNgRKR0FjLBtrynvfs=,Grocery,Ralphs,1
2014-11-16,+n37LXsbuUnjI8u6VOVi0oy1h5g=,Grocery,Ralphs,2
2014-11-16,7uYLYqoRhB0JVygJqe4GIpStGaE=,Grocery,Ralphs,1
2014-11-16,TFzH75VXE35Nq0K7R0qtgSDaLkc=,Grocery,Ralphs,1
2014-11-16,piGrkyEIrNPivv4WR3MJCA0rC/Q=,Grocery,Ralphs,1
2014-11-16,EAKfoDjJwOXX+ticIa5Cygh1j1g=,Grocery,Ralphs,1
2014-11-16,w8SlwOe66cuJm0WJM/bAFiB/FAs=,Grocery,Ralphs,5
2014-11-16,7FyF14FmToNkudeK2hc7Cem0Qfc=,Grocery,Ralphs,13
2014-11-16,rVhrqxX2t0CVWsiqNQ6xoN9/9rw=,Grocery,Ralphs,1
2014-11-16,db4RkvqlMMfXkXqhsCKgpnoOaTE=,Grocery,Ralphs,2
2014-11-16,qunyMntM1mH9PYKtLiyjinvFSYc=,Grocery,Ralphs,2
2014-11-16,WoybmUD8xyNgn4zUuoDfMggqT1I=,Grocery,Ralphs,1
2014-11-16,kjWlJM9uQdG0nOrCLLElTqZdbx0=,Grocery,Ralphs,1
2014-11-16,v2ujNiYacjYYHHp246bWZr0hfoo=,Grocery,Ralphs,10
2014-11-16,mP70qSxM6NfSQg5nxxgvrMJC5Ic=,Grocery,Ralphs,6
2014-11-16,fX+Zetupju/4AH196n1zQQ7/l3s=,Restaurant,SUBWAY,1
2014-11-16,z4mdJIbjxuruqNsmYp5PjOzDKCk=,Restaurant,SUBWAY,6
2014-11-16,nD8c1z9z6Hgsltl910nK8twfMnQ=,Restaurant,SUBWAY,2
2014-11-16,dZWJcnm7v2ye0P9i2FGDrfRTWPA=,Restaurant,SUBWAY,1
2014-11-16,7NIFWhjNvXZRlXrrCwf2Ytm7Owc=,Restaurant,SUBWAY,3
2014-11-16,7wC4Di5mjd1+Aj14d9q0x7WfoS0=,Restaurant,SUBWAY,2
2014-11-16,HxCihIOx4xIUSy5LEdAv8SqQQHw=,Restaurant,SUBWAY,1
2014-11-16,Anh/JCnxtfIaHInCqeqX414tUpw=,Restaurant,SUBWAY,1
2014-11-16,G08q0K5wr5uPiShZ8ngQFIQDLzM=,Restaurant,SUBWAY,1
2014-11-16,dRHb9w8/hxIH1NQCRhC6PpgTQ7E=,Restaurant,SUBWAY,1
2014-11-16,kZCswCfDfDeEjhvG8WlRMAO/7/4=,Restaurant,SUBWAY,2
2014-11-16,uNEs5H1NmX9yqAjzV+FwHdpP77o=,Restaurant,SUBWAY,1
2014-11-16,Teu7fjJCY5Wk/GfIa6gBFNi3V5w=,Restaurant,SUBWAY,4
2014-11-16,euqrBb8DaAj+th6WB/n7MDlNOBk=,Restaurant,SUBWAY,4
2014-11-16,I29L8JEvmzw87xOw7YL1CfFYKPQ=,Restaurant,SUBWAY,2
2014-11-16,+n37LXsbuUnjI8u6VOVi0oy1h5g=,Restaurant,SUBWAY,1
2014-11-16,bhBozx5t2GYn8ahHNCLApWEY63A=,Restaurant,SUBWAY,1
2014-11-16,YNQSYfimUBmpjGyhOD/O3uOs+0Q=,Restaurant,SUBWAY,3
2014-11-16,+rVQ+kka4RIv7/Y3tfq1wGLX4xE=,Restaurant,SUBWAY,2
2014-11-16,hvaKJONAW+reAD+AqFw/PBrzyZQ=,Restaurant,SUBWAY,2
2014-11-16,Q7sJ0RZZrKGUuyUHyFcXvsnWF74=,Restaurant,SUBWAY,1
2014-11-16,NKDbo8wFWVRv938WCt9vh3gycqE=,Restaurant,SUBWAY,2
2014-11-16,z6zT/fipXwNgRKR0FjLBtrynvfs=,Restaurant,SUBWAY,2
2014-11-16,ztJiDwEPkEA0OIS2+pjccFxwaJM=,Restaurant,SUBWAY,2
2014-11-16,35T4LvYDtRanaty7gM9jBC5KRew=,Restaurant,SUBWAY,2
2014-11-16,bMf+ka6m+DWnANRYjLYg1xubtJI=,Restaurant,SUBWAY,5
2014-11-16,7+AofM1fjuq6Bf076hLXUiu2hR0=,Restaurant,SUBWAY,1
2014-11-16,TBoim0CCqjDc70//mjWARrXVziY=,Restaurant,SUBWAY,1
2014-11-16,qtHQDZ8O0H9syLt1pI/22VtD+8w=,Restaurant,SUBWAY,2
2014-11-16,3ak45XDysy7YiAJy7tioqlZXjhc=,Restaurant,SUBWAY,2
2014-11-16,0b3BErLzHpB/ZxxWdHMHjyOBkUQ=,Restaurant,SUBWAY,1
2014-11-16,eDnq2o09biiHIFzM8zBv180o2eM=,Restaurant,SUBWAY,1
2014-11-16,E8Kr/iysbrvuoET8Zt+Qh8KvlGc=,Restaurant,SUBWAY,1
2014-11-16,tArBmaJaOgAs2D/VHd2KZ/0DMjU=,Restaurant,SUBWAY,2
2014-11-16,YIsKc0POZAeVGrdiWKSja94aC0g=,Restaurant,SUBWAY,2
2014-11-16,ZGeE50XUQpo1KDOiA5TFLLGBP3E=,Restaurant,SUBWAY,1
